avatar_id,avatar_name,gender,preview_image_url,preview_video_url
Hada_Suit_Sitting_Front_public,Hada Suit Sitting Front,female,https://files2.heygen.ai/avatar/v3/ae0df3236f904dff8874014cb4b618d3_42510/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/ae0df3236f904dff8874014cb4b618d3_42510/preview_video_talk_2.mp4
Hada_Suit_Sitting_Side_public,Hada Suit Sitting Side,female,https://files2.heygen.ai/avatar/v3/662dc6736d624041bba54b818dcdf61e_42510/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/662dc6736d624041bba54b818dcdf61e_42510/preview_video_talk_1.mp4
Harrison_public_2_20240313,Harrison in Black Suit,male,https://files2.heygen.ai/avatar/v3/8ad113a9695d472ea8d825c41bdbbf04_15060/preview_target.webp,https://files2.heygen.ai/avatar/v3/8ad113a9695d472ea8d825c41bdbbf04_15060/preview_video_target.mp4
Harrison_public_20240313,Harrison in Gray Suit,male,https://files2.heygen.ai/avatar/v3/d0989ba9890542e7b88b8939392eb93b_15060/preview_talk_4.webp,https://files2.heygen.ai/avatar/v3/d0989ba9890542e7b88b8939392eb93b_15060/preview_video_talk_4.mp4
Harrison_public_3_20240313,Harrison in White Shirt,male,https://files2.heygen.ai/avatar/v3/cca5c6471a834e05b11056261082b22d_15060/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/cca5c6471a834e05b11056261082b22d_15060/preview_video_talk_2.mp4
Ian_public_3_20240315,Ian in Beige Shirt,male,https://files2.heygen.ai/avatar/v3/038552b4f7d647bb8ae98c7663d7b83e_15054/preview_talk_3.webp,https://files2.heygen.ai/avatar/v3/038552b4f7d647bb8ae98c7663d7b83e_15054/preview_video_talk_3.mp4
Ian_public_2_20240315,Ian in Black Jacket,male,https://files2.heygen.ai/avatar/v3/ebcd9c44cdb4424680c739d82d97d019_15054/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/ebcd9c44cdb4424680c739d82d97d019_15054/preview_video_talk_1.mp4
Ian_public_20240315,Ian in Gray Suit,male,https://files2.heygen.ai/avatar/v3/e652fd9e04c243dda50e0b77a3b03198_15054/preview_talk_4.webp,https://files2.heygen.ai/avatar/v3/e652fd9e04c243dda50e0b77a3b03198_15054/preview_video_talk_4.mp4
Ivan_public_20240312,Ivan in Black Suit,male,https://files2.heygen.ai/avatar/v3/7e2c41a638174c099ada043b4c03e351_14903/preview_target.webp,https://files2.heygen.ai/avatar/v3/7e2c41a638174c099ada043b4c03e351_14903/preview_video_target.mp4
Ivan_public_3_20240312,Ivan in Gary Suit,male,https://files2.heygen.ai/avatar/v3/7d7e75a13e2149769093feccebc765de_14903/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/7d7e75a13e2149769093feccebc765de_14903/preview_video_talk_2.mp4
